number,owner,title,created_at,updated_at,closed_at,issue_url,diff_url,PR_lived,events_url,labels,issue_created_at,issue_closed_at,lines_changed
45339,zy84338719,archive/zip: optimize reader func ReadDir,2021-04-01T17:02:12Z,2021-05-06T16:30:13Z,,https://api.github.com/repos/golang/go/issues/45339,https://github.com/golang/go/pull/45339.diff,3022081.0,https://api.github.com/repos/golang/go/issues/45339/events,['cla: yes'],2021-04-01T17:02:12Z,,6
45331,hysios,ignoreCN disables interpreting parsePrintableString as ASN.1. See issue 21339,2021-04-01T13:26:21Z,2021-06-21T17:03:47Z,,https://api.github.com/repos/golang/go/issues/45331,https://github.com/golang/go/pull/45331.diff,7011446.0,https://api.github.com/repos/golang/go/issues/45331/events,['cla: yes'],2021-04-01T13:26:21Z,,2
45228,kdumontnu,encoding/csv: allow for interpretation of empty lines,2021-03-25T07:04:57Z,2022-04-29T01:37:13Z,,https://api.github.com/repos/golang/go/issues/45228,https://github.com/golang/go/pull/45228.diff,34540336.0,https://api.github.com/repos/golang/go/issues/45228/events,['cla: yes'],2021-03-25T07:04:57Z,,42
45142,kachick,strings: adjust and add tests for strings.Index and strings.LastIndex,2021-03-20T14:54:03Z,2021-11-08T12:31:01Z,,https://api.github.com/repos/golang/go/issues/45142,https://github.com/golang/go/pull/45142.diff,20122618.0,https://api.github.com/repos/golang/go/issues/45142/events,['cla: yes'],2021-03-20T14:54:03Z,,8
45028,stffabi,cmd/compile/mips: intrinsify bits.RotateLeft32 on MIPS,2021-03-15T15:48:53Z,2021-11-08T11:17:38Z,,https://api.github.com/repos/golang/go/issues/45028,https://github.com/golang/go/pull/45028.diff,20546925.0,https://api.github.com/repos/golang/go/issues/45028/events,['cla: yes'],2021-03-15T15:48:53Z,,151
45023,AdamKorcz,math/big: add fuzzer,2021-03-15T14:27:26Z,2021-11-08T11:12:56Z,,https://api.github.com/repos/golang/go/issues/45023,https://github.com/golang/go/pull/45023.diff,20551530.0,https://api.github.com/repos/golang/go/issues/45023/events,['cla: yes'],2021-03-15T14:27:26Z,,44
44998,RustyDust,cmd/link: bring back R_ARM_V4BX for Annapurna AL-212 and possibly others,2021-03-14T17:26:32Z,2021-11-08T11:28:59Z,,https://api.github.com/repos/golang/go/issues/44998,https://github.com/golang/go/pull/44998.diff,20628147.0,https://api.github.com/repos/golang/go/issues/44998/events,['cla: yes'],2021-03-14T17:26:32Z,,5
44935,tkmru,misc/ios: change to explicitly use python3 in Xcode,2021-03-11T07:02:26Z,2021-06-21T17:03:47Z,,https://api.github.com/repos/golang/go/issues/44935,https://github.com/golang/go/pull/44935.diff,8848881.0,https://api.github.com/repos/golang/go/issues/44935/events,['cla: yes'],2021-03-11T07:02:26Z,,3
44899,andrius4669,mime: fix FormatMediaType's RFC 2616 compliance,2021-03-09T23:43:18Z,2021-06-21T17:03:47Z,,https://api.github.com/repos/golang/go/issues/44899,https://github.com/golang/go/pull/44899.diff,8961629.0,https://api.github.com/repos/golang/go/issues/44899/events,['cla: yes'],2021-03-09T23:43:18Z,,22
44804,jbampton,misc/chrome: clean up the gophertool HTML,2021-03-05T04:17:50Z,2021-06-21T17:03:47Z,,https://api.github.com/repos/golang/go/issues/44804,https://github.com/golang/go/pull/44804.diff,9377157.0,https://api.github.com/repos/golang/go/issues/44804/events,['cla: yes'],2021-03-05T04:17:50Z,,0
44786,cs-chicken,runtime:fix wrong comment,2021-03-04T15:25:56Z,2021-06-21T17:03:47Z,,https://api.github.com/repos/golang/go/issues/44786,https://github.com/golang/go/pull/44786.diff,9423471.0,https://api.github.com/repos/golang/go/issues/44786/events,['cla: yes'],2021-03-04T15:25:56Z,,8
44565,Soontao,net/http: support mulit same transfer-encoding header,2021-02-24T07:59:06Z,2022-06-27T11:42:54Z,,https://api.github.com/repos/golang/go/issues/44565,https://github.com/golang/go/pull/44565.diff,42176628.0,https://api.github.com/repos/golang/go/issues/44565/events,['cla: yes'],2021-02-24T07:59:06Z,,13
44536,mbartosch,crypto/x509/pkix/pkix: add missing RFC 5280 RDN OIDs,2021-02-23T10:00:19Z,2021-06-21T17:03:47Z,,https://api.github.com/repos/golang/go/issues/44536,https://github.com/golang/go/pull/44536.diff,10220608.0,https://api.github.com/repos/golang/go/issues/44536/events,['cla: yes'],2021-02-23T10:00:19Z,,27
44535,ct16k,net/http/httputil: add a ModifyRequest method to ReverseProxy,2021-02-23T09:58:38Z,2021-11-08T12:30:51Z,,https://api.github.com/repos/golang/go/issues/44535,https://github.com/golang/go/pull/44535.diff,22300333.0,https://api.github.com/repos/golang/go/issues/44535/events,['cla: yes'],2021-02-23T09:58:38Z,,102
44477,mehmetcantas,database/sql: add empty driver name check on Register method,2021-02-21T13:37:57Z,2021-11-08T11:09:32Z,,https://api.github.com/repos/golang/go/issues/44477,https://github.com/golang/go/pull/44477.diff,22455095.0,https://api.github.com/repos/golang/go/issues/44477/events,['cla: yes'],2021-02-21T13:37:57Z,,3
44400,rjenkins,runtime: remove unnecessary bitwise XOR in noescape,2021-02-18T23:09:12Z,2021-11-08T12:03:21Z,,https://api.github.com/repos/golang/go/issues/44400,https://github.com/golang/go/pull/44400.diff,22683249.0,https://api.github.com/repos/golang/go/issues/44400/events,['cla: yes'],2021-02-18T23:09:12Z,,2
44282,jbampton,"all: remove unneeded 'type=""text/javascript""' from HTML script tag",2021-02-16T07:47:08Z,2022-05-28T18:04:43Z,,https://api.github.com/repos/golang/go/issues/44282,https://github.com/golang/go/pull/44282.diff,40299455.0,https://api.github.com/repos/golang/go/issues/44282/events,['cla: yes'],2021-02-16T07:47:08Z,,6
44173,zimbatm,cmd/gofmt: atomically swap the new file,2021-02-08T21:04:56Z,2021-11-08T11:09:30Z,,https://api.github.com/repos/golang/go/issues/44173,https://github.com/golang/go/pull/44173.diff,23551474.0,https://api.github.com/repos/golang/go/issues/44173/events,['cla: yes'],2021-02-08T21:04:56Z,,37
44130,bpowers,net: report local address on unsuccessful TCP dial attempts,2021-02-05T20:57:06Z,2021-06-21T17:03:47Z,,https://api.github.com/repos/golang/go/issues/44130,https://github.com/golang/go/pull/44130.diff,11736401.0,https://api.github.com/repos/golang/go/issues/44130/events,['cla: yes'],2021-02-05T20:57:06Z,,39
